Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9793822540854679,0.9777972780555647,0.9714687128498866,0.8930061593483012,0.9305864692789482
Random Forest,0.999300461943474,0.9982615318388026,0.9987981972959439,0.990760977548182,0.9947633534487058
Support Vector Machine,0.9888405053231121,0.9882777575416405,0.9838676318510858,0.9451619312537254,0.9641264693960275
XGBoost,1.0,0.9996523063677605,0.9979181124219292,1.0,0.9989579715178881
K-Nearest Neighbors,0.9992383727668592,0.998973475942912,0.9938783570300158,1.0,0.9969297811231058
